text,x,y,z
   1.3,-0.05,0.25,0.0
   1.3,-0.05,0.45,0.0
   1.3,-0.05,0.65,0.0
   1.3,-0.05,0.85,0.0
   1.3,-0.05,1.05,0.0
   1.3,-0.05,1.25,0.0
   1.3,-0.05,1.45,0.0
   1.3,-0.05,1.65,0.0
   1.3,-0.05,1.85,0.0
   2.9,-0.05,2.05,0.0
   3.4,-0.1,2.25,0.0
   3.8,-0.05,2.45,0.0
   4.1,-0.05,2.65,0.0
   4.3,-0.1,2.85,0.0
   4.5,-0.1,3.05,0.0
   4.4,-0.1,3.25,0.0
   4.3,-0.1,3.45,0.0
   4.0,-0.1,3.65,0.0
   3.7,-0.05,3.85,0.0
   3.3,-0.05,4.05,0.0
   2.8,-0.05,4.25,0.0
   1.3,-0.05,4.45,0.0
   1.3,-0.05,4.65,0.0
   1.3,-0.05,4.85,0.0
   1.3,-0.05,5.05,0.0
   1.3,-0.05,5.25,0.0
   4.9,-0.1,5.45,0.0
   1.3,-0.05,5.65,0.0
   1.3,0.15,0.05,0.0
   1.3,0.15,0.25,0.0
   1.3,0.15,0.45,0.0
   1.3,0.15,0.65,0.0
   1.3,0.15,0.85,0.0
   1.3,0.15,1.05,0.0
   1.3,0.15,1.25,0.0
   1.3,0.15,1.45,0.0
   1.3,0.15,1.65,0.0
   2.4,0.1,1.85,0.0
   3.0,0.15,2.05,0.0
   3.5,0.15,2.25,0.0
   3.9,0.15,2.45,0.0
   4.2,0.1,2.65,0.0
   4.4,0.1,2.85,0.0
   4.5,0.1,3.05,0.0
   4.5,0.1,3.25,0.0
   4.3,0.1,3.45,0.0
   4.1,0.15,3.65,0.0
   3.8,0.15,3.85,0.0
   3.4,0.1,4.05,0.0
   2.8,0.15,4.25,0.0
   1.3,0.15,4.45,0.0
   1.3,0.15,4.65,0.0
   1.3,0.15,4.85,0.0
   1.3,0.15,5.05,0.0
   1.3,0.15,5.25,0.0
   1.3,0.15,5.45,0.0
   1.3,0.15,5.65,0.0
   1.3,0.15,5.85,0.0
   1.3,0.3,0.05,0.0
   1.3,0.3,0.25,0.0
   1.3,0.3,0.45,0.0
   1.3,0.3,0.65,0.0
   1.3,0.3,0.85,0.0
   1.3,0.3,1.05,0.0
   1.3,0.3,1.25,0.0
   1.3,0.3,1.45,0.0
   1.3,0.3,1.65,0.0
   2.4,0.3,1.85,0.0
   3.1,0.3,2.05,0.0
   3.6,0.3,2.25,0.0
   4.0,0.3,2.45,0.0
   4.3,0.3,2.65,0.0
   4.5,0.3,2.85,0.0
   4.5,0.3,3.05,0.0
   4.5,0.3,3.25,0.0
   4.3,0.3,3.45,0.0
   4.1,0.3,3.65,0.0
   3.7,0.3,3.85,0.0
   3.3,0.3,4.05,0.0
   2.7,0.3,4.25,0.0
   1.3,0.3,4.45,0.0
   1.3,0.3,4.65,0.0
   1.3,0.3,4.85,0.0
   1.3,0.3,5.05,0.0
   1.3,0.3,5.25,0.0
   1.3,0.3,5.45,0.0
   1.3,0.3,5.65,0.0
   1.3,0.3,5.85,0.0
   1.3,0.5,0.05,0.0
   1.3,0.5,0.25,0.0
   1.3,0.5,0.45,0.0
   1.3,0.5,0.65,0.0
   1.3,0.5,0.85,0.0
   1.3,0.5,1.05,0.0
   1.3,0.5,1.25,0.0
   1.3,0.5,1.45,0.0
   1.3,0.5,1.65,0.0
   2.6,0.5,1.85,0.0
   3.2,0.5,2.05,0.0
   3.7,0.5,2.25,0.0
   4.1,0.5,2.45,0.0
   4.4,0.5,2.65,0.0
   4.5,0.5,2.85,0.0
   4.5,0.5,3.05,0.0
   4.5,0.5,3.25,0.0
   4.3,0.5,3.45,0.0
   4.0,0.5,3.65,0.0
   3.6,0.5,3.85,0.0
   3.2,0.5,4.05,0.0
   2.6,0.5,4.25,0.0
   1.3,0.5,4.45,0.0
